name_common,name_sp,class,name_parameter,value,unit
kopi robusta,Coffea canephora,S1,clim_dry_months,2-3,bulan
kopi robusta,Coffea canephora,S1,clim_humidity,45-80,%
kopi robusta,Coffea canephora,S2,clim_dry_months,3-5,bulan
kopi robusta,Coffea canephora,S2,clim_dry_months,2<,bulan
kopi robusta,Coffea canephora,S2,clim_humidity,80-90,%
kopi robusta,Coffea canephora,S3,clim_dry_months,5-6,bulan
kopi robusta,Coffea canephora,S3,clim_humidity,>90,%
kopi robusta,Coffea canephora,N,clim_dry_months,>6,bulan
kopi robusta,Coffea canephora,N,clim_humidity,30<,%
kopi robusta,Coffea canephora,S2,clim_humidity,35-45,%
kopi robusta,Coffea canephora,S3,clim_humidity,30-35,%
kopi robusta,Coffea canephora,S1,clim_precipitation_tot,2000-3000,mm
kopi robusta,Coffea canephora,S2,clim_precipitation_tot,1750-2000,mm
kopi robusta,Coffea canephora,S2,clim_precipitation_tot,3000-3500,mm
kopi robusta,Coffea canephora,S3,clim_precipitation_tot,1500-1750,mm
kopi robusta,Coffea canephora,S3,clim_precipitation_tot,3500-4000,mm
kopi robusta,Coffea canephora,N,clim_precipitation_tot,1500<,mm
kopi robusta,Coffea canephora,N,clim_precipitation_tot,>4000,mm
kopi robusta,Coffea canephora,S1,clim_temperature_avg,20-24,°C
kopi robusta,Coffea canephora,S2,clim_temperature_avg,24-28,°C
kopi robusta,Coffea canephora,S3,clim_temperature_avg,18-20,°C
kopi robusta,Coffea canephora,S3,clim_temperature_avg,28-32,°C
kopi robusta,Coffea canephora,N,clim_temperature_avg,18<,°C
kopi robusta,Coffea canephora,N,clim_temperature_avg,>32,°C
kopi robusta,Coffea canephora,S1,soil_base_saturation,>20,%
kopi robusta,Coffea canephora,S2,soil_base_saturation,20<,%
kopi robusta,Coffea canephora,S1,soil_cec,>16,cmol
kopi robusta,Coffea canephora,S2,soil_cec,5-16,cmol
kopi robusta,Coffea canephora,S3,soil_cec,5<,cmol
kopi robusta,Coffea canephora,S1,soil_coarse_fragments,15<,%
kopi robusta,Coffea canephora,S2,soil_coarse_fragments,15-35,%
kopi robusta,Coffea canephora,S3,soil_coarse_fragments,35-60,%
kopi robusta,Coffea canephora,N,soil_coarse_fragments,>60,%
kopi robusta,Coffea canephora,S1,soil_depth,>100,cm
kopi robusta,Coffea canephora,S2,soil_depth,75-100,cm
kopi robusta,Coffea canephora,S3,soil_depth,50-75,cm
kopi robusta,Coffea canephora,N,soil_depth,50<,cm
kopi robusta,Coffea canephora,S1,soil_drainage,baik,unitless
kopi robusta,Coffea canephora,S2,soil_drainage,sedang,unitless
kopi robusta,Coffea canephora,S3,soil_drainage,agakterhambat;agakcepat,unitless
kopi robusta,Coffea canephora,N,soil_drainage,terhambat;sangatterhambat;cepat,unitless
kopi robusta,Coffea canephora,S1,soil_erosion_risk,0.15<,unitless
kopi robusta,Coffea canephora,S2,soil_erosion_risk,0.15-0.9,unitless
kopi robusta,Coffea canephora,S2,soil_erosion_risk,0.9-1.8,unitless
kopi robusta,Coffea canephora,S3,soil_erosion_risk,1.8-4.8,unitless
kopi robusta,Coffea canephora,N,soil_erosion_risk,>4.8,unitless
kopi robusta,Coffea canephora,S3,soil_flood_height,25,cm
kopi robusta,Coffea canephora,N,soil_flood_height,>25,cm
kopi robusta,Coffea canephora,S3,soil_flood_length,7<,hari
kopi robusta,Coffea canephora,N,soil_flood_length,>7,hari
kopi robusta,Coffea canephora,S1,soil_k2o,>20,mg/100 g
kopi robusta,Coffea canephora,S2,soil_k2o,10-20,mg/100 g
kopi robusta,Coffea canephora,S3,soil_k2o,10<,mg/100 g
kopi robusta,Coffea canephora,S1,soil_nitrogen,>0.2,%
kopi robusta,Coffea canephora,S2,soil_nitrogen,0.10-0.20,%
kopi robusta,Coffea canephora,S3,soil_nitrogen,0.10<,%
kopi robusta,Coffea canephora,S1,soil_organic_c,>1.2,%
kopi robusta,Coffea canephora,S2,soil_organic_c,0.8-1.2,%
kopi robusta,Coffea canephora,S3,soil_organic_c,0.8<,%
kopi robusta,Coffea canephora,S1,soil_outcrop,5<,%
kopi robusta,Coffea canephora,S2,soil_outcrop,5-15,%
kopi robusta,Coffea canephora,S3,soil_outcrop,15-25,%
kopi robusta,Coffea canephora,N,soil_outcrop,>25,%
kopi robusta,Coffea canephora,S1,soil_p2o5,>40,mg/100 g
kopi robusta,Coffea canephora,S2,soil_p2o5,21-40,mg/100 g
kopi robusta,Coffea canephora,S3,soil_p2o5,15-20,mg/100 g
kopi robusta,Coffea canephora,S3,soil_p2o5,15<,mg/100 g
kopi robusta,Coffea canephora,S1,soil_peat_depth,100<,cm
kopi robusta,Coffea canephora,S2,soil_peat_depth,100-200,cm
kopi robusta,Coffea canephora,S3,soil_peat_depth,200-300,cm
kopi robusta,Coffea canephora,N,soil_peat_depth,>300,cm
kopi robusta,Coffea canephora,S1,soil_peat_maturity,saprik,unitless
kopi robusta,Coffea canephora,S2,soil_peat_maturity,saprik;hemik,unitless
kopi robusta,Coffea canephora,S3,soil_peat_maturity,hemik,unitless
kopi robusta,Coffea canephora,N,soil_peat_maturity,fibrik,unitless
kopi robusta,Coffea canephora,S1,soil_ph,5.3-6.0,unitless
kopi robusta,Coffea canephora,S2,soil_ph,6.0-6.5,unitless
kopi robusta,Coffea canephora,S2,soil_ph,5.0-5.3,unitless
kopi robusta,Coffea canephora,S3,soil_ph,>6.5,unitless
kopi robusta,Coffea canephora,S3,soil_ph,5.3<,unitless
kopi robusta,Coffea canephora,S1,soil_salinity,1<,dS/m
kopi robusta,Coffea canephora,S3,soil_salinity,1-2,dS/m
kopi robusta,Coffea canephora,N,soil_salinity,>2,dS/m
kopi robusta,Coffea canephora,S1,soil_slope,8<,%
kopi robusta,Coffea canephora,S2,soil_slope,8-15,%
kopi robusta,Coffea canephora,S3,soil_slope,15-30,%
kopi robusta,Coffea canephora,N,soil_slope,>30,%
