name_common,name_sp,class,name_parameter,value,unit
jati putih,Gmelina arborea,S1,clim_precipitation_tot,1500-2500,mm
jati putih,Gmelina arborea,S2,clim_precipitation_tot,1125-1500,mm
jati putih,Gmelina arborea,S2,clim_precipitation_tot,2500-3750,mm
jati putih,Gmelina arborea,S3,clim_precipitation_tot,750-1125,mm
jati putih,Gmelina arborea,S3,clim_precipitation_tot,3750-5000,mm
jati putih,Gmelina arborea,N,clim_precipitation_tot,<750,mm
jati putih,Gmelina arborea,N,clim_precipitation_tot,>5000,mm
jati putih,Gmelina arborea,S1,clim_temperature_avg,22-34,°C
jati putih,Gmelina arborea,S2,clim_temperature_avg,19-22,°C
jati putih,Gmelina arborea,S2,clim_temperature_avg,34-40,°C
jati putih,Gmelina arborea,S3,clim_temperature_avg,16-19,°C
jati putih,Gmelina arborea,S3,clim_temperature_avg,40-46,°C
jati putih,Gmelina arborea,N,clim_temperature_avg,<16,°C
jati putih,Gmelina arborea,N,clim_temperature_avg, >46,°C
jati putih,Gmelina arborea,S1,soil_depth,>150,cm
jati putih,Gmelina arborea,S2,soil_depth,100-150,cm
jati putih,Gmelina arborea,S3,soil_depth,50-100,cm
jati putih,Gmelina arborea,N,soil_depth,<50,cm
jati putih,Gmelina arborea,S1,soil_elevation,<2100,m
jati putih,Gmelina arborea,N,soil_elevation,>2100,m
jati putih,Gmelina arborea,S1,soil_ph,5-6,unitless
jati putih,Gmelina arborea,S2,soil_ph,4.5-5,unitless
jati putih,Gmelina arborea,S2,soil_ph,6-6.75,unitless
jati putih,Gmelina arborea,S3,soil_ph,4-4.5,unitless
jati putih,Gmelina arborea,S3,soil_ph,6.75-7.5,unitless
jati putih,Gmelina arborea,N,soil_ph,<4,unitless
jati putih,Gmelina arborea,N,soil_ph,>7.5,unitless
jati putih,Gmelina arborea,S1,soil_salinity,<4,dS/m
jati putih,Gmelina arborea,N,soil_salinity,>4,dS/m
jati putih,Gmelina arborea,S1,soil_texture,h_sh_ah_ak_s,unitless
jati putih,Gmelina arborea,S2,soil_texture,k,unitless
